"word","count"
"data",10
"program",8
"learn",6
"algorithm",4
"engin",4
"mine",4
"statist",4
"applic",3
"big",3
"busi",3
"comput",3
"econom",3
"manag",3
"probabl",3
"process",3
"text",3
"analysi",2
"basic",2
"cook",2
"cours",2
