k1	b	k3	MAP
1.4	0.75	300	0.643923
1.4	0.75	400	0.643923
1.4	0.75	500	0.643923
1.4	0.75	600	0.643923
1.4	0.75	700	0.643923
1.4	0.75	800	0.643923
1.4	0.8	200	0.643192
1.4	0.8	300	0.643192
1.4	0.8	400	0.643192
1.4	0.8	500	0.643192
1.4	0.8	600	0.643192
1.4	0.8	700	0.643192
1.4	0.8	800	0.643192
1.4	0.85	200	0.64964
1.4	0.85	300	0.64964
1.4	0.85	400	0.64964
1.4	0.85	500	0.64964
1.4	0.85	600	0.64964
1.4	0.85	700	0.64964
1.4	0.85	800	0.64964
1.4	0.9	200	0.649789
1.4	0.9	300	0.649789
1.4	0.9	400	0.649789
1.4	0.9	500	0.649789
1.4	0.9	600	0.649789
1.4	0.9	700	0.649789
1.4	0.9	800	0.649789
1.4	0.95	200	0.648116
1.4	0.95	300	0.648116
1.4	0.95	400	0.648116
1.4	0.95	500	0.648116
1.4	0.95	600	0.648116
1.4	0.95	700	0.648116
1.4	0.95	800	0.648116
1.4	1	200	0.642098
1.4	1	300	0.642098
1.4	1	400	0.642098
1.4	1	500	0.642098
1.4	1	600	0.642098
1.4	1	700	0.642098
1.4	1	800	0.642098
1.4	1.5	200	0.464139
1.4	1.5	300	0.464139
1.4	1.5	400	0.464139
1.4	1.5	500	0.464139
1.4	1.5	600	0.464139
1.4	1.5	700	0.464139
1.4	1.5	800	0.464139
1.4	2	200	0.182168
1.4	2	300	0.182168
1.4	2	400	0.182168
1.4	2	500	0.182168
1.4	2	600	0.182168
1.4	2	700	0.182168
1.4	2	800	0.182168
1.4	3	200	0.0883228
1.4	3	300	0.0883228
1.4	3	400	0.0883228
1.4	3	500	0.0883228
1.4	3	600	0.0883228
1.4	3	700	0.0883228
1.4	3	800	0.0883228
1.5	0.6	200	0.639929
1.5	0.6	300	0.639929
1.5	0.6	400	0.639929
1.5	0.6	500	0.639929
1.5	0.6	600	0.639929
1.5	0.6	700	0.639929
1.5	0.6	800	0.639929
1.5	0.65	200	0.644928
1.5	0.65	300	0.644928
1.5	0.65	400	0.644928
1.5	0.65	500	0.644928
1.5	0.65	600	0.644928
1.5	0.65	700	0.644928
1.5	0.65	800	0.644928
1.5	0.7	200	0.648742
1.5	0.7	300	0.648742
1.5	0.7	400	0.648742
1.5	0.7	500	0.648742
1.5	0.7	600	0.648742
1.5	0.7	700	0.648742
1.5	0.7	800	0.648742
1.5	0.75	200	0.64756
1.5	0.75	300	0.64756
1.5	0.75	400	0.64756
1.5	0.75	500	0.64756
1.5	0.75	600	0.64756
1.5	0.75	700	0.64756
1.5	0.75	800	0.64756
1.5	0.8	200	0.648009
1.5	0.8	300	0.648009
1.5	0.8	400	0.648009
1.5	0.8	500	0.648009
1.5	0.8	600	0.648009
1.5	0.8	700	0.648009
1.5	0.8	800	0.648009
1.5	0.85	200	0.648967
1.5	0.85	300	0.648967
1.5	0.85	400	0.648967
1.5	0.85	500	0.648967
1.5	0.85	600	0.648967
1.5	0.85	700	0.648967
1.5	0.85	800	0.648967
1.5	0.9	200	0.651649
1.5	0.9	300	0.651649
1.5	0.9	400	0.651649
1.5	0.9	500	0.651649
1.5	0.9	600	0.651649
1.5	0.9	700	0.651649
1.5	0.9	800	0.651649
1.5	0.95	200	0.650214
1.5	0.95	300	0.650214
1.5	0.95	400	0.650214
1.5	0.95	500	0.650214
1.5	0.95	600	0.650214
1.5	0.95	700	0.650214
1.5	0.95	800	0.650214
1.5	1	200	0.643081
1.5	1	300	0.643081
1.5	1	400	0.643081
1.5	1	500	0.643081
1.5	1	600	0.643081
1.5	1	700	0.643081
1.5	1	800	0.643081
1.5	1.5	200	0.459582
1.5	1.5	300	0.459582
1.5	1.5	400	0.459582
1.5	1.5	500	0.459582
1.5	1.5	600	0.459582
1.5	1.5	700	0.459582
1.5	1.5	800	0.459582
1.5	2	200	0.1621
1.5	2	300	0.1621
1.5	2	400	0.1621
1.5	2	500	0.1621
1.5	2	600	0.1621
1.5	2	700	0.1621
1.5	2	800	0.1621
1.5	3	200	0.0872818
1.5	3	300	0.0872818
1.5	3	400	0.0872818
1.5	3	500	0.0872818
1.5	3	600	0.0872818
1.5	3	700	0.0872818
1.5	3	800	0.0872818
1.6	0.6	200	0.640829
1.6	0.6	300	0.640829
1.6	0.6	400	0.640829
1.6	0.6	500	0.640829
1.6	0.6	600	0.640829
1.6	0.6	700	0.640829
1.6	0.6	800	0.640829
1.6	0.65	200	0.645453
1.6	0.65	300	0.645453
1.6	0.65	400	0.645453
1.6	0.65	500	0.645453
