s	mu	alpha	lambda	MAP
0.35	5000	0.2	0.8	0.6454
0.35	10000	0.2	0.8	0.628214
0.4	100	0.2	0.8	0.614094
0.4	500	0.2	0.8	0.65204
0.4	1000	0.2	0.8	0.660817
0.4	2000	0.2	0.8	0.657186
0.4	5000	0.2	0.8	0.638005
0.4	10000	0.2	0.8	0.622848
0.1	100	0.2	0.9	0.52117
0.1	500	0.2	0.9	0.545462
0.1	1000	0.2	0.9	0.560832
0.1	2000	0.2	0.9	0.578247
0.1	5000	0.2	0.9	0.583068
0.1	10000	0.2	0.9	0.572697
0.15	100	0.2	0.9	0.560876
0.15	500	0.2	0.9	0.58862
0.15	1000	0.2	0.9	0.603904
0.15	2000	0.2	0.9	0.618831
0.15	5000	0.2	0.9	0.608257
0.15	10000	0.2	0.9	0.596739
0.2	100	0.2	0.9	0.58773
0.2	500	0.2	0.9	0.611117
0.2	1000	0.2	0.9	0.624502
0.2	2000	0.2	0.9	0.64121
0.2	5000	0.2	0.9	0.63102
0.2	10000	0.2	0.9	0.612864
0.25	100	0.2	0.9	0.606667
0.25	500	0.2	0.9	0.637503
0.25	1000	0.2	0.9	0.644041
0.25	2000	0.2	0.9	0.655059
0.25	5000	0.2	0.9	0.637856
0.25	10000	0.2	0.9	0.617921
0.3	100	0.2	0.9	0.612054
0.3	500	0.2	0.9	0.657007
0.3	1000	0.2	0.9	0.657935
0.3	2000	0.2	0.9	0.661274
0.3	5000	0.2	0.9	0.646074
0.3	10000	0.2	0.9	0.628909
0.35	100	0.2	0.9	0.616701
0.35	500	0.2	0.9	0.653006
0.35	1000	0.2	0.9	0.6609
0.35	2000	0.2	0.9	0.658228
0.35	5000	0.2	0.9	0.638782
0.35	10000	0.2	0.9	0.621784
0.4	100	0.2	0.9	0.588753
0.4	500	0.2	0.9	0.639031
0.4	1000	0.2	0.9	0.646994
0.4	2000	0.2	0.9	0.644648
0.4	5000	0.2	0.9	0.632445
0.4	10000	0.2	0.9	0.613956
0.1	100	0.3	0.1	0.410997
0.1	500	0.3	0.1	0.446897
0.1	1000	0.3	0.1	0.466594
0.1	2000	0.3	0.1	0.487724
0.1	5000	0.3	0.1	0.50899
0.1	10000	0.3	0.1	0.506599
0.15	100	0.3	0.1	0.417638
0.15	500	0.3	0.1	0.455482
0.15	1000	0.3	0.1	0.473
0.15	2000	0.3	0.1	0.498733
0.15	5000	0.3	0.1	0.515493
0.15	10000	0.3	0.1	0.514766
0.2	100	0.3	0.1	0.422173
0.2	500	0.3	0.1	0.461797
0.2	1000	0.3	0.1	0.478928
0.2	2000	0.3	0.1	0.504437
0.2	5000	0.3	0.1	0.521259
0.2	10000	0.3	0.1	0.519707
0.25	100	0.3	0.1	0.430668
0.25	500	0.3	0.1	0.46688
0.25	1000	0.3	0.1	0.488798
0.25	2000	0.3	0.1	0.509567
0.25	5000	0.3	0.1	0.526105
0.25	10000	0.3	0.1	0.523026
0.3	100	0.3	0.1	0.436878
0.3	500	0.3	0.1	0.471462
0.3	1000	0.3	0.1	0.496174
0.3	2000	0.3	0.1	0.514182
0.3	5000	0.3	0.1	0.530066
0.3	10000	0.3	0.1	0.526697
0.35	100	0.3	0.1	0.439451
0.35	500	0.3	0.1	0.48099
0.35	1000	0.3	0.1	0.501847
0.35	2000	0.3	0.1	0.519864
0.35	5000	0.3	0.1	0.533557
0.35	10000	0.3	0.1	0.530319
0.4	100	0.3	0.1	0.445585
0.4	500	0.3	0.1	0.487123
0.4	1000	0.3	0.1	0.507521
0.4	2000	0.3	0.1	0.523639
0.4	5000	0.3	0.1	0.537092
0.4	10000	0.3	0.1	0.534482
0.1	100	0.3	0.2	0.42722
0.1	500	0.3	0.2	0.464659
0.1	1000	0.3	0.2	0.481795
0.1	2000	0.3	0.2	0.507833
0.1	5000	0.3	0.2	0.523493
0.1	10000	0.3	0.2	0.522494
0.15	100	0.3	0.2	0.440741
0.15	500	0.3	0.2	0.477319
0.15	1000	0.3	0.2	0.502046
0.15	2000	0.3	0.2	0.51939
0.15	5000	0.3	0.2	0.53618
0.15	10000	0.3	0.2	0.531909
0.2	100	0.3	0.2	0.451019
0.2	500	0.3	0.2	0.496359
0.2	1000	0.3	0.2	0.514367
0.2	2000	0.3	0.2	0.52853
0.2	5000	0.3	0.2	0.544465
0.2	10000	0.3	0.2	0.542053
0.25	100	0.3	0.2	0.471437
0.25	500	0.3	0.2	0.504508
0.25	1000	0.3	0.2	0.527459
0.25	2000	0.3	0.2	0.543742
0.25	5000	0.3	0.2	0.554321
0.25	10000	0.3	0.2	0.555548
0.3	100	0.3	0.2	0.484003
0.3	500	0.3	0.2	0.516718
0.3	1000	0.3	0.2	0.537684
0.3	2000	0.3	0.2	0.552782
0.3	5000	0.3	0.2	0.564121
0.3	10000	0.3	0.2	0.565009
0.35	100	0.3	0.2	0.500269
0.35	500	0.3	0.2	0.527338
0.35	1000	0.3	0.2	0.547162
0.35	2000	0.3	0.2	0.561839
0.35	5000	0.3	0.2	0.573661
0.35	10000	0.3	0.2	0.575141
0.4	100	0.3	0.2	0.510239
0.4	500	0.3	0.2	0.537018
0.4	1000	0.3	0.2	0.555928
0.4	2000	0.3	0.2	0.568607
0.4	5000	0.3	0.2	0.58184
0.4	10000	0.3	0.2	0.581868
0.1	100	0.3	0.3	0.441803
0.1	500	0.3	0.3	0.484628
0.1	1000	0.3	0.3	0.503077
0.1	2000	0.3	0.3	0.520393
0.1	5000	0.3	0.3	0.538336
0.1	10000	0.3	0.3	0.533381
0.15	100	0.3	0.3	0.467553
0.15	500	0.3	0.3	0.50216
0.15	1000	0.3	0.3	0.524396
0.15	2000	0.3	0.3	0.543253
0.15	5000	0.3	0.3	0.553412
0.15	10000	0.3	0.3	0.553415
0.2	100	0.3	0.3	0.487999
0.2	500	0.3	0.3	0.519891
0.2	1000	0.3	0.3	0.541064
0.2	2000	0.3	0.3	0.555763
0.2	5000	0.3	0.3	0.568493
0.2	10000	0.3	0.3	0.570228
0.25	100	0.3	0.3	0.510701
0.25	500	0.3	0.3	0.536454
0.25	1000	0.3	0.3	0.555622
0.25	2000	0.3	0.3	0.56798
0.25	5000	0.3	0.3	0.58134
0.25	10000	0.3	0.3	0.583941
0.3	100	0.3	0.3	0.525972
0.3	500	0.3	0.3	0.550487
0.3	1000	0.3	0.3	0.572304
0.3	2000	0.3	0.3	0.586087
0.3	5000	0.3	0.3	0.592701
0.3	10000	0.3	0.3	0.592148
0.35	100	0.3	0.3	0.543927
0.35	500	0.3	0.3	0.566965
0.35	1000	0.3	0.3	0.582918
0.35	2000	0.3	0.3	0.598748
0.35	5000	0.3	0.3	0.602
0.35	10000	0.3	0.3	0.604518
0.4	100	0.3	0.3	0.556731
0.4	500	0.3	0.3	0.57843
0.4	1000	0.3	0.3	0.593125
0.4	2000	0.3	0.3	0.611034
0.4	5000	0.3	0.3	0.611883
0.4	10000	0.3	0.3	0.611018
0.1	100	0.3	0.4	0.4612
0.1	500	0.3	0.4	0.496927
0.1	1000	0.3	0.4	0.519428
0.1	2000	0.3	0.4	0.53606
0.1	5000	0.3	0.4	0.547615
0.1	10000	0.3	0.4	0.544512
0.15	100	0.3	0.4	0.492752
0.15	500	0.3	0.4	0.523097
0.15	1000	0.3	0.4	0.54216
0.15	2000	0.3	0.4	0.557816
0.15	5000	0.3	0.4	0.569564
0.15	10000	0.3	0.4	0.571725
0.2	100	0.3	0.4	0.51725
0.2	500	0.3	0.4	0.544836
0.2	1000	0.3	0.4	0.56338
0.2	2000	0.3	0.4	0.578644
0.2	5000	0.3	0.4	0.587308
0.2	10000	0.3	0.4	0.588278
0.25	100	0.3	0.4	0.542116
0.25	500	0.3	0.4	0.56336
0.25	1000	0.3	0.4	0.582044
0.25	2000	0.3	0.4	0.595613
0.25	5000	0.3	0.4	0.60018
0.25	10000	0.3	0.4	0.602949
0.3	100	0.3	0.4	0.561375
0.3	500	0.3	0.4	0.583386
0.3	1000	0.3	0.4	0.598248
0.3	2000	0.3	0.4	0.61411
0.3	5000	0.3	0.4	0.614088
0.3	10000	0.3	0.4	0.613019
0.35	100	0.3	0.4	0.575335
0.35	500	0.3	0.4	0.597755
0.35	1000	0.3	0.4	0.614069
0.35	2000	0.3	0.4	0.625755
0.35	5000	0.3	0.4	0.624876
0.35	10000	0.3	0.4	0.617832
0.4	100	0.3	0.4	0.587203
0.4	500	0.3	0.4	0.607743
0.4	1000	0.3	0.4	0.622364
0.4	2000	0.3	0.4	0.636974
0.4	5000	0.3	0.4	0.636399
0.4	10000	0.3	0.4	0.626738
0.1	100	0.3	0.5	0.478291
0.1	500	0.3	0.5	0.509384
0.1	1000	0.3	0.5	0.531924
0.1	2000	0.3	0.5	0.549925
0.1	5000	0.3	0.5	0.562617
0.1	10000	0.3	0.5	0.562284
0.15	100	0.3	0.5	0.513481
0.15	500	0.3	0.5	0.540863
0.15	1000	0.3	0.5	0.559857
0.15	2000	0.3	0.5	0.571398
0.15	5000	0.3	0.5	0.583633
0.15	10000	0.3	0.5	0.586488
0.2	100	0.3	0.5	0.544822
0.2	500	0.3	0.5	0.565679
0.2	1000	0.3	0.5	0.583086
0.2	2000	0.3	0.5	0.597096
0.2	5000	0.3	0.5	0.601599
0.2	10000	0.3	0.5	0.604099
0.25	100	0.3	0.5	0.569064
0.25	500	0.3	0.5	0.589852
0.25	1000	0.3	0.5	0.602567
0.25	2000	0.3	0.5	0.620717
0.25	5000	0.3	0.5	0.620324
0.25	10000	0.3	0.5	0.615114
0.3	100	0.3	0.5	0.581151
0.3	500	0.3	0.5	0.603529
0.3	1000	0.3	0.5	0.618778
0.3	2000	0.3	0.5	0.633059
0.3	5000	0.3	0.5	0.629939
0.3	10000	0.3	0.5	0.621096
0.35	100	0.3	0.5	0.59477
0.35	500	0.3	0.5	0.616917
0.35	1000	0.3	0.5	0.637907
0.35	2000	0.3	0.5	0.647124
0.35	5000	0.3	0.5	0.642227
0.35	10000	0.3	0.5	0.6305
0.4	100	0.3	0.5	0.613068
0.4	500	0.3	0.5	0.634713
0.4	1000	0.3	0.5	0.648206
0.4	2000	0.3	0.5	0.65857
0.4	5000	0.3	0.5	0.650312
0.4	10000	0.3	0.5	0.639674
0.1	100	0.3	0.6	0.497126
0.1	500	0.3	0.6	0.525609
0.1	1000	0.3	0.6	0.544888
0.1	2000	0.3	0.6	0.558951
0.1	5000	0.3	0.6	0.57051
0.1	10000	0.3	0.6	0.573281
0.15	100	0.3	0.6	0.533167
0.15	500	0.3	0.6	0.554428
0.15	1000	0.3	0.6	0.577142
0.15	2000	0.3	0.6	0.58978
0.15	5000	0.3	0.6	0.596503
0.15	10000	0.3	0.6	0.599251
0.2	100	0.3	0.6	0.564871
0.2	500	0.3	0.6	0.585566
0.2	1000	0.3	0.6	0.602304
0.2	2000	0.3	0.6	0.61949
0.2	5000	0.3	0.6	0.61778
0.2	10000	0.3	0.6	0.613334
0.25	100	0.3	0.6	0.580979
0.25	500	0.3	0.6	0.605758
0.25	1000	0.3	0.6	0.619711
0.25	2000	0.3	0.6	0.633814
0.25	5000	0.3	0.6	0.629937
0.25	10000	0.3	0.6	0.621233
0.3	100	0.3	0.6	0.598847
0.3	500	0.3	0.6	0.629899
0.3	1000	0.3	0.6	0.64254
0.3	2000	0.3	0.6	0.646926
0.3	5000	0.3	0.6	0.6416
0.3	10000	0.3	0.6	0.630189
0.35	100	0.3	0.6	0.615112
0.35	500	0.3	0.6	0.637222
0.35	1000	0.3	0.6	0.646496
0.35	2000	0.3	0.6	0.656715
0.35	5000	0.3	0.6	0.651335
0.35	10000	0.3	0.6	0.640339
0.4	100	0.3	0.6	0.62178
0.4	500	0.3	0.6	0.65518
0.4	1000	0.3	0.6	0.661396
0.4	2000	0.3	0.6	0.658575
0.4	5000	0.3	0.6	0.654706
0.4	10000	0.3	0.6	0.644879
0.1	100	0.3	0.7	0.510273
0.1	500	0.3	0.7	0.535606
0.1	1000	0.3	0.7	0.554458
0.1	2000	0.3	0.7	0.569181
0.1	5000	0.3	0.7	0.580962
0.1	10000	0.3	0.7	0.582721
0.15	100	0.3	0.7	0.55129
0.15	500	0.3	0.7	0.573725
0.15	1000	0.3	0.7	0.589523
0.15	2000	0.3	0.7	0.606866
0.15	5000	0.3	0.7	0.610721
0.15	10000	0.3	0.7	0.608735
0.2	100	0.3	0.7	0.574254
0.2	500	0.3	0.7	0.600137
0.2	1000	0.3	0.7	0.615359
0.2	2000	0.3	0.7	0.630508
0.2	5000	0.3	0.7	0.628074
0.2	10000	0.3	0.7	0.618311
0.25	100	0.3	0.7	0.593825
0.25	500	0.3	0.7	0.627178
0.25	1000	0.3	0.7	0.641814
0.25	2000	0.3	0.7	0.645475
0.25	5000	0.3	0.7	0.638881
0.25	10000	0.3	0.7	0.629629
0.3	100	0.3	0.7	0.614056
0.3	500	0.3	0.7	0.63578
0.3	1000	0.3	0.7	0.64581
0.3	2000	0.3	0.7	0.657501
0.3	5000	0.3	0.7	0.651292
0.3	10000	0.3	0.7	0.640057
0.35	100	0.3	0.7	0.620363
0.35	500	0.3	0.7	0.654956
0.35	1000	0.3	0.7	0.65958
0.35	2000	0.3	0.7	0.657361
0.35	5000	0.3	0.7	0.655677
0.35	10000	0.3	0.7	0.644052
0.4	100	0.3	0.7	0.627377
0.4	500	0.3	0.7	0.654718
0.4	1000	0.3	0.7	0.662714
0.4	2000	0.3	0.7	0.659209
0.4	5000	0.3	0.7	0.650897
0.4	10000	0.3	0.7	0.635955
0.1	100	0.3	0.8	0.521861
0.1	500	0.3	0.8	0.547121
0.1	1000	0.3	0.8	0.567343
0.1	2000	0.3	0.8	0.582024
0.1	5000	0.3	0.8	0.59085
0.1	10000	0.3	0.8	0.593835
0.15	100	0.3	0.8	0.564673
0.15	500	0.3	0.8	0.589143
0.15	1000	0.3	0.8	0.605806
0.15	2000	0.3	0.8	0.620542
0.15	5000	0.3	0.8	0.618021
0.15	10000	0.3	0.8	0.615218
0.2	100	0.3	0.8	0.589034
0.2	500	0.3	0.8	0.609145
0.2	1000	0.3	0.8	0.629509
0.2	2000	0.3	0.8	0.645075
0.2	5000	0.3	0.8	0.638526
0.2	10000	0.3	0.8	0.627262
0.25	100	0.3	0.8	0.610184
0.25	500	0.3	0.8	0.633124
0.25	1000	0.3	0.8	0.644038
0.25	2000	0.3	0.8	0.650465
0.25	5000	0.3	0.8	0.651051
0.25	10000	0.3	0.8	0.634275
0.3	100	0.3	0.8	0.619551
0.3	500	0.3	0.8	0.65036
0.3	1000	0.3	0.8	0.660429
0.3	2000	0.3	0.8	0.658002
0.3	5000	0.3	0.8	0.655861
0.3	10000	0.3	0.8	0.645536
0.35	100	0.3	0.8	0.621044
0.35	500	0.3	0.8	0.654176
0.35	1000	0.3	0.8	0.662787
0.35	2000	0.3	0.8	0.658707
0.35	5000	0.3	0.8	0.65033
0.35	10000	0.3	0.8	0.635103
0.4	100	0.3	0.8	0.616352
0.4	500	0.3	0.8	0.647684
0.4	1000	0.3	0.8	0.654806
0.4	2000	0.3	0.8	0.652037
0.4	5000	0.3	0.8	0.640747
0.4	10000	0.3	0.8	0.630781
0.1	100	0.3	0.9	0.534362
0.1	500	0.3	0.9	0.558347
0.1	1000	0.3	0.9	0.578218
0.1	2000	0.3	0.9	0.590564
0.1	5000	0.3	0.9	0.597404
0.1	10000	0.3	0.9	0.600059
0.15	100	0.3	0.9	0.571818
0.15	500	0.3	0.9	0.59655
0.15	1000	0.3	0.9	0.614102
0.15	2000	0.3	0.9	0.628518
0.15	5000	0.3	0.9	0.6259
0.15	10000	0.3	0.9	0.618042
0.2	100	0.3	0.9	0.596971
0.2	500	0.3	0.9	0.628168
0.2	1000	0.3	0.9	0.64187
0.2	2000	0.3	0.9	0.645144
0.2	5000	0.3	0.9	0.641057
0.2	10000	0.3	0.9	0.630167
0.25	100	0.3	0.9	0.616633
0.25	500	0.3	0.9	0.645509
0.25	1000	0.3	0.9	0.653031
0.25	2000	0.3	0.9	0.656578
0.25	5000	0.3	0.9	0.649822
0.25	10000	0.3	0.9	0.641257
0.3	100	0.3	0.9	0.62278
0.3	500	0.3	0.9	0.655188
0.3	1000	0.3	0.9	0.658966
0.3	2000	0.3	0.9	0.658751
0.3	5000	0.3	0.9	0.649662
0.3	10000	0.3	0.9	0.63747
0.35	100	0.3	0.9	0.618069
0.35	500	0.3	0.9	0.650058
0.35	1000	0.3	0.9	0.655508
0.35	2000	0.3	0.9	0.654617
0.35	5000	0.3	0.9	0.6432
0.35	10000	0.3	0.9	0.63059
0.4	100	0.3	0.9	0.588745
0.4	500	0.3	0.9	0.632704
0.4	1000	0.3	0.9	0.639948
0.4	2000	0.3	0.9	0.63936
0.4	5000	0.3	0.9	0.630384
0.4	10000	0.3	0.9	0.608433
0.1	100	0.4	0.1	0.426767
0.1	500	0.4	0.1	0.462203
0.1	1000	0.4	0.1	0.482161
0.1	2000	0.4	0.1	0.509176
0.1	5000	0.4	0.1	0.519923
0.1	10000	0.4	0.1	0.525359
0.15	100	0.4	0.1	0.433117
0.15	500	0.4	0.1	0.467115
0.15	1000	0.4	0.1	0.491384
0.15	2000	0.4	0.1	0.512404
0.15	5000	0.4	0.1	0.525573
0.15	10000	0.4	0.1	0.530894
0.2	100	0.4	0.1	0.437872
0.2	500	0.4	0.1	0.474207
0.2	1000	0.4	0.1	0.497433
0.2	2000	0.4	0.1	0.516718
0.2	5000	0.4	0.1	0.533151
0.2	10000	0.4	0.1	0.536709
0.25	100	0.4	0.1	0.443677
0.25	500	0.4	0.1	0.482215
0.25	1000	0.4	0.1	0.504005
0.25	2000	0.4	0.1	0.522075
0.25	5000	0.4	0.1	0.537026
0.25	10000	0.4	0.1	0.542463
0.3	100	0.4	0.1	0.450169
0.3	500	0.4	0.1	0.486868
0.3	1000	0.4	0.1	0.508993
0.3	2000	0.4	0.1	0.524472
0.3	5000	0.4	0.1	0.542014
0.3	10000	0.4	0.1	0.545732
0.35	100	0.4	0.1	0.460991
0.35	500	0.4	0.1	0.492962
0.35	1000	0.4	0.1	0.514057
0.35	2000	0.4	0.1	0.52968
0.35	5000	0.4	0.1	0.54568
0.35	10000	0.4	0.1	0.549582
0.4	100	0.4	0.1	0.465855
0.4	500	0.4	0.1	0.497659
0.4	1000	0.4	0.1	0.518649
0.4	2000	0.4	0.1	0.535473
0.4	5000	0.4	0.1	0.551191
0.4	10000	0.4	0.1	0.553692
0.1	100	0.4	0.2	0.440338
0.1	500	0.4	0.2	0.476368
0.1	1000	0.4	0.2	0.500634
0.1	2000	0.4	0.2	0.519534
0.1	5000	0.4	0.2	0.536519
0.1	10000	0.4	0.2	0.539938
0.15	100	0.4	0.2	0.453593
0.15	500	0.4	0.2	0.492507
0.15	1000	0.4	0.2	0.512003
0.15	2000	0.4	0.2	0.528896
0.15	5000	0.4	0.2	0.545391
0.15	10000	0.4	0.2	0.548483
0.2	100	0.4	0.2	0.476388
0.2	500	0.4	0.2	0.508115
0.2	1000	0.4	0.2	0.526451
0.2	2000	0.4	0.2	0.540945
0.2	5000	0.4	0.2	0.55559
0.2	10000	0.4	0.2	0.55989
0.25	100	0.4	0.2	0.491417
0.25	500	0.4	0.2	0.520465
0.25	1000	0.4	0.2	0.539718
0.25	2000	0.4	0.2	0.5553
0.25	5000	0.4	0.2	0.565081
0.25	10000	0.4	0.2	0.571683
0.3	100	0.4	0.2	0.503364
0.3	500	0.4	0.2	0.531908
0.3	1000	0.4	0.2	0.552607
0.3	2000	0.4	0.2	0.567158
0.3	5000	0.4	0.2	0.577086
0.3	10000	0.4	0.2	0.580902
0.35	100	0.4	0.2	0.516153
0.35	500	0.4	0.2	0.539889
0.35	1000	0.4	0.2	0.560498
0.35	2000	0.4	0.2	0.575274
0.35	5000	0.4	0.2	0.586285
0.35	10000	0.4	0.2	0.590167
0.4	100	0.4	0.2	0.526945
0.4	500	0.4	0.2	0.55057
0.4	1000	0.4	0.2	0.567867
0.4	2000	0.4	0.2	0.581916
0.4	5000	0.4	0.2	0.592804
0.4	10000	0.4	0.2	0.59816
0.1	100	0.4	0.3	0.455552
0.1	500	0.4	0.3	0.493914
0.1	1000	0.4	0.3	0.513068
0.1	2000	0.4	0.3	0.529879
0.1	5000	0.4	0.3	0.548362
0.1	10000	0.4	0.3	0.550283
0.15	100	0.4	0.3	0.487477
0.15	500	0.4	0.3	0.517319
0.15	1000	0.4	0.3	0.536071
0.15	2000	0.4	0.3	0.55213
0.15	5000	0.4	0.3	0.561973
0.15	10000	0.4	0.3	0.56807
0.2	100	0.4	0.3	0.50871
0.2	500	0.4	0.3	0.534583
0.2	1000	0.4	0.3	0.554738
0.2	2000	0.4	0.3	0.571023
0.2	5000	0.4	0.3	0.579499
0.2	10000	0.4	0.3	0.585691
0.25	100	0.4	0.3	0.525548
0.25	500	0.4	0.3	0.548095
0.25	1000	0.4	0.3	0.565453
0.25	2000	0.4	0.3	0.580198
0.25	5000	0.4	0.3	0.592664
0.25	10000	0.4	0.3	0.597537
0.3	100	0.4	0.3	0.543951
0.3	500	0.4	0.3	0.564513
0.3	1000	0.4	0.3	0.57894
0.3	2000	0.4	0.3	0.593992
0.3	5000	0.4	0.3	0.603592
0.3	10000	0.4	0.3	0.612026
0.35	100	0.4	0.3	0.558159
0.35	500	0.4	0.3	0.580942
0.35	1000	0.4	0.3	0.59356
0.35	2000	0.4	0.3	0.610286
0.35	5000	0.4	0.3	0.617396
0.35	10000	0.4	0.3	0.6226
0.4	100	0.4	0.3	0.571478
0.4	500	0.4	0.3	0.591391
0.4	1000	0.4	0.3	0.60491
0.4	2000	0.4	0.3	0.620972
0.4	5000	0.4	0.3	0.625657
0.4	10000	0.4	0.3	0.626154
0.1	100	0.4	0.4	0.480273
0.1	500	0.4	0.4	0.512477
0.1	1000	0.4	0.4	0.53118
0.1	2000	0.4	0.4	0.54604
0.1	5000	0.4	0.4	0.558359
0.1	10000	0.4	0.4	0.562655
0.15	100	0.4	0.4	0.512036
0.15	500	0.4	0.4	0.534725
0.15	1000	0.4	0.4	0.554735
0.15	2000	0.4	0.4	0.571719
0.15	5000	0.4	0.4	0.581171
0.15	10000	0.4	0.4	0.587215
0.2	100	0.4	0.4	0.534037
0.2	500	0.4	0.4	0.555709
0.2	1000	0.4	0.4	0.57204
0.2	2000	0.4	0.4	0.58766
0.2	5000	0.4	0.4	0.599145
0.2	10000	0.4	0.4	0.603752
0.25	100	0.4	0.4	0.555812
0.25	500	0.4	0.4	0.578435
0.25	1000	0.4	0.4	0.592009
0.25	2000	0.4	0.4	0.609093
0.25	5000	0.4	0.4	0.616461
0.25	10000	0.4	0.4	0.620687
0.3	100	0.4	0.4	0.574902
0.3	500	0.4	0.4	0.592739
0.3	1000	0.4	0.4	0.608563
0.3	2000	0.4	0.4	0.622576
0.3	5000	0.4	0.4	0.62805
0.3	10000	0.4	0.4	0.625367
0.35	100	0.4	0.4	0.588066
0.35	500	0.4	0.4	0.610118
0.35	1000	0.4	0.4	0.624677
0.35	2000	0.4	0.4	0.638424
0.35	5000	0.4	0.4	0.636697
0.35	10000	0.4	0.4	0.634508
0.4	100	0.4	0.4	0.599942
0.4	500	0.4	0.4	0.625525
0.4	1000	0.4	0.4	0.639563
0.4	2000	0.4	0.4	0.645731
0.4	5000	0.4	0.4	0.644126
0.4	10000	0.4	0.4	0.63752
0.1	100	0.4	0.5	0.497244
0.1	500	0.4	0.5	0.5253
0.1	1000	0.4	0.5	0.54547
0.1	2000	0.4	0.5	0.559951
0.1	5000	0.4	0.5	0.570729
0.1	10000	0.4	0.5	0.577832
0.15	100	0.4	0.5	0.530013
0.15	500	0.4	0.5	0.55181
0.15	1000	0.4	0.5	0.568491
0.15	2000	0.4	0.5	0.582977
0.15	5000	0.4	0.5	0.595855
0.15	10000	0.4	0.5	0.600867
0.2	100	0.4	0.5	0.557674
0.2	500	0.4	0.5	0.580131
0.2	1000	0.4	0.5	0.592844
0.2	2000	0.4	0.5	0.609408
0.2	5000	0.4	0.5	0.619575
0.2	10000	0.4	0.5	0.62116
0.25	100	0.4	0.5	0.577174
0.25	500	0.4	0.5	0.600614
0.25	1000	0.4	0.5	0.62024
0.25	2000	0.4	0.5	0.625113
0.25	5000	0.4	0.5	0.629791
0.25	10000	0.4	0.5	0.626654
0.3	100	0.4	0.5	0.592173
0.3	500	0.4	0.5	0.61436
0.3	1000	0.4	0.5	0.636456
0.3	2000	0.4	0.5	0.642984
0.3	5000	0.4	0.5	0.641343
0.3	10000	0.4	0.5	0.634056
0.35	100	0.4	0.5	0.611219
0.35	500	0.4	0.5	0.633403
0.35	1000	0.4	0.5	0.646672
0.35	2000	0.4	0.5	0.655781
0.35	5000	0.4	0.5	0.651719
0.35	10000	0.4	0.5	0.644821
0.4	100	0.4	0.5	0.619896
0.4	500	0.4	0.5	0.649347
0.4	1000	0.4	0.5	0.653304
0.4	2000	0.4	0.5	0.655801
0.4	5000	0.4	0.5	0.652228
0.4	10000	0.4	0.5	0.645429
0.1	100	0.4	0.6	0.51417
0.1	500	0.4	0.6	0.537104
0.1	1000	0.4	0.6	0.55539
0.1	2000	0.4	0.6	0.572079
0.1	5000	0.4	0.6	0.5824
0.1	10000	0.4	0.6	0.588639
0.15	100	0.4	0.6	0.548954
0.15	500	0.4	0.6	0.569915
0.15	1000	0.4	0.6	0.584962
0.15	2000	0.4	0.6	0.602128
0.15	5000	0.4	0.6	0.611712
0.15	10000	0.4	0.6	0.61702
0.2	100	0.4	0.6	0.574447
0.2	500	0.4	0.6	0.598936
0.2	1000	0.4	0.6	0.617212
0.2	2000	0.4	0.6	0.625331
0.2	5000	0.4	0.6	0.628891
0.2	10000	0.4	0.6	0.626153
0.25	100	0.4	0.6	0.592007
0.25	500	0.4	0.6	0.615251
0.25	1000	0.4	0.6	0.638455
0.25	2000	0.4	0.6	0.643373
0.25	5000	0.4	0.6	0.639871
0.25	10000	0.4	0.6	0.633729
0.3	100	0.4	0.6	0.61262
0.3	500	0.4	0.6	0.639457
0.3	1000	0.4	0.6	0.645728
0.3	2000	0.4	0.6	0.65546
0.3	5000	0.4	0.6	0.650805
0.3	10000	0.4	0.6	0.642882
0.35	100	0.4	0.6	0.626486
0.35	500	0.4	0.6	0.649046
0.35	1000	0.4	0.6	0.651159
0.35	2000	0.4	0.6	0.65287
0.35	5000	0.4	0.6	0.654832
0.35	10000	0.4	0.6	0.644785
0.4	100	0.4	0.6	0.629477
0.4	500	0.4	0.6	0.654941
0.4	1000	0.4	0.6	0.659913
0.4	2000	0.4	0.6	0.659137
0.4	5000	0.4	0.6	0.655189
0.4	10000	0.4	0.6	0.648601
0.1	100	0.4	0.7	0.526277
0.1	500	0.4	0.7	0.547812
0.1	1000	0.4	0.7	0.564069
0.1	2000	0.4	0.7	0.580396
0.1	5000	0.4	0.7	0.593356
0.1	10000	0.4	0.7	0.597509
0.15	100	0.4	0.7	0.566569
0.15	500	0.4	0.7	0.58688
0.15	1000	0.4	0.7	0.599421
0.15	2000	0.4	0.7	0.62002
0.15	5000	0.4	0.7	0.62152
0.15	10000	0.4	0.7	0.625154
0.2	100	0.4	0.7	0.586094
0.2	500	0.4	0.7	0.610356
0.2	1000	0.4	0.7	0.632227
0.2	2000	0.4	0.7	0.639624
0.2	5000	0.4	0.7	0.637196
0.2	10000	0.4	0.7	0.634192
0.25	100	0.4	0.7	0.610569
0.25	500	0.4	0.7	0.639634
0.25	1000	0.4	0.7	0.643778
0.25	2000	0.4	0.7	0.649163
0.25	5000	0.4	0.7	0.649542
0.25	10000	0.4	0.7	0.642442
0.3	100	0.4	0.7	0.625377
0.3	500	0.4	0.7	0.648549
0.3	1000	0.4	0.7	0.651465
0.3	2000	0.4	0.7	0.652438
0.3	5000	0.4	0.7	0.651791
0.3	10000	0.4	0.7	0.643533
0.35	100	0.4	0.7	0.628677
