s	mu	alpha	lambda	MAP
0.2	2000	0.1	0.4	0.549403
0.2	5000	0.1	0.4	0.550127
0.2	10000	0.1	0.4	0.528804
0.25	100	0.1	0.4	0.508244
0.25	500	0.1	0.4	0.533763
0.25	1000	0.1	0.4	0.554939
0.25	2000	0.1	0.4	0.568646
0.25	5000	0.1	0.4	0.562051
0.25	10000	0.1	0.4	0.541923
0.3	100	0.1	0.4	0.531175
0.3	500	0.1	0.4	0.551812
0.3	1000	0.1	0.4	0.569165
0.3	2000	0.1	0.4	0.57959
0.3	5000	0.1	0.4	0.57417
0.3	10000	0.1	0.4	0.550355
0.35	100	0.1	0.4	0.550904
0.35	500	0.1	0.4	0.571764
0.35	1000	0.1	0.4	0.584947
0.35	2000	0.1	0.4	0.595925
0.35	5000	0.1	0.4	0.587634
0.35	10000	0.1	0.4	0.557301
0.4	100	0.1	0.4	0.565546
0.4	500	0.1	0.4	0.584093
0.4	1000	0.1	0.4	0.60046
0.4	2000	0.1	0.4	0.610045
0.4	5000	0.1	0.4	0.59071
0.4	10000	0.1	0.4	0.561629
0.1	100	0.1	0.5	0.436653
0.1	500	0.1	0.5	0.478974
0.1	1000	0.1	0.5	0.505643
0.1	2000	0.1	0.5	0.521486
0.1	5000	0.1	0.5	0.525653
0.1	10000	0.1	0.5	0.513198
0.15	100	0.1	0.5	0.476899
0.15	500	0.1	0.5	0.511828
0.15	1000	0.1	0.5	0.531875
0.15	2000	0.1	0.5	0.547133
0.15	5000	0.1	0.5	0.548776
0.15	10000	0.1	0.5	0.52749
0.2	100	0.1	0.5	0.511097
0.2	500	0.1	0.5	0.536951
0.2	1000	0.1	0.5	0.556567
0.2	2000	0.1	0.5	0.569392
0.2	5000	0.1	0.5	0.565225
0.2	10000	0.1	0.5	0.542698
0.25	100	0.1	0.5	0.540568
0.25	500	0.1	0.5	0.55939
0.25	1000	0.1	0.5	0.574535
0.25	2000	0.1	0.5	0.582721
0.25	5000	0.1	0.5	0.581509
0.25	10000	0.1	0.5	0.552857
0.3	100	0.1	0.5	0.558146
0.3	500	0.1	0.5	0.580535
0.3	1000	0.1	0.5	0.598153
0.3	2000	0.1	0.5	0.607311
0.3	5000	0.1	0.5	0.588515
0.3	10000	0.1	0.5	0.560241
0.35	100	0.1	0.5	0.574034
0.35	500	0.1	0.5	0.597137
0.35	1000	0.1	0.5	0.612794
0.35	2000	0.1	0.5	0.621139
0.35	5000	0.1	0.5	0.599501
0.35	10000	0.1	0.5	0.566596
0.4	100	0.1	0.5	0.587536
0.4	500	0.1	0.5	0.609496
0.4	1000	0.1	0.5	0.622828
0.4	2000	0.1	0.5	0.632675
0.4	5000	0.1	0.5	0.607176
0.4	10000	0.1	0.5	0.573054
0.1	100	0.1	0.6	0.456424
0.1	500	0.1	0.6	0.498077
0.1	1000	0.1	0.6	0.517244
0.1	2000	0.1	0.6	0.532066
0.1	5000	0.1	0.6	0.534072
0.1	10000	0.1	0.6	0.520088
0.15	100	0.1	0.6	0.500625
0.15	500	0.1	0.6	0.526676
0.15	1000	0.1	0.6	0.54715
0.15	2000	0.1	0.6	0.562962
0.15	5000	0.1	0.6	0.557747
0.15	10000	0.1	0.6	0.538084
0.2	100	0.1	0.6	0.53671
0.2	500	0.1	0.6	0.556158
0.2	1000	0.1	0.6	0.571168
0.2	2000	0.1	0.6	0.58084
0.2	5000	0.1	0.6	0.580813
0.2	10000	0.1	0.6	0.553082
0.25	100	0.1	0.6	0.559119
0.25	500	0.1	0.6	0.582097
0.25	1000	0.1	0.6	0.601633
0.25	2000	0.1	0.6	0.610296
0.25	5000	0.1	0.6	0.589453
0.25	10000	0.1	0.6	0.560371
0.3	100	0.1	0.6	0.579353
0.3	500	0.1	0.6	0.60053
0.3	1000	0.1	0.6	0.614183
0.3	2000	0.1	0.6	0.624717
0.3	5000	0.1	0.6	0.601027
0.3	10000	0.1	0.6	0.570963
0.35	100	0.1	0.6	0.590707
0.35	500	0.1	0.6	0.615003
0.35	1000	0.1	0.6	0.626325
0.35	2000	0.1	0.6	0.637316
0.35	5000	0.1	0.6	0.613659
0.35	10000	0.1	0.6	0.580696
0.4	100	0.1	0.6	0.60642
0.4	500	0.1	0.6	0.637871
0.4	1000	0.1	0.6	0.648085
