s	mu	alpha	lambda	MAP
0.1	2000	0.3	0.8	0.519992
0.1	5000	0.3	0.8	0.504404
0.15	500	0.3	0.8	0.526165
0.15	1000	0.3	0.8	0.545973
0.15	2000	0.3	0.8	0.541893
0.15	5000	0.3	0.8	0.51653
0.2	500	0.3	0.8	0.548591
0.2	1000	0.3	0.8	0.562975
0.2	2000	0.3	0.8	0.562565
0.2	5000	0.3	0.8	0.523972
0.25	500	0.3	0.8	0.569404
0.25	1000	0.3	0.8	0.581035
0.25	2000	0.3	0.8	0.579449
0.25	5000	0.3	0.8	0.528523
0.3	500	0.3	0.8	0.584858
0.3	1000	0.3	0.8	0.594751
0.3	2000	0.3	0.8	0.592211
0.3	5000	0.3	0.8	0.529953
0.35	500	0.3	0.8	0.601368
0.35	1000	0.3	0.8	0.609032
0.35	2000	0.3	0.8	0.594269
0.35	5000	0.3	0.8	0.527456
0.4	500	0.3	0.8	0.614527
0.4	1000	0.3	0.8	0.61913
0.4	2000	0.3	0.8	0.597971
0.4	5000	0.3	0.8	0.524582
0.1	500	0.3	0.9	0.508216
0.1	1000	0.3	0.9	0.526424
0.1	2000	0.3	0.9	0.524956
0.1	5000	0.3	0.9	0.506314
0.15	500	0.3	0.9	0.535673
0.15	1000	0.3	0.9	0.554413
0.15	2000	0.3	0.9	0.549022
0.15	5000	0.3	0.9	0.519897
0.2	500	0.3	0.9	0.559421
0.2	1000	0.3	0.9	0.57403
0.2	2000	0.3	0.9	0.573564
0.2	5000	0.3	0.9	0.52892
0.25	500	0.3	0.9	0.579883
0.25	1000	0.3	0.9	0.591713
0.25	2000	0.3	0.9	0.589123
0.25	5000	0.3	0.9	0.530604
0.3	500	0.3	0.9	0.598946
0.3	1000	0.3	0.9	0.607801
0.3	2000	0.3	0.9	0.594839
0.3	5000	0.3	0.9	0.529678
0.35	500	0.3	0.9	0.614136
0.35	1000	0.3	0.9	0.618503
0.35	2000	0.3	0.9	0.596426
0.35	5000	0.3	0.9	0.524437
0.4	500	0.3	0.9	0.627819
0.4	1000	0.3	0.9	0.629791
0.4	2000	0.3	0.9	0.593556
0.4	5000	0.3	0.9	0.530831
0.1	500	0.4	0.1	0.448525
0.1	1000	0.4	0.1	0.465138
0.1	2000	0.4	0.1	0.474361
0.1	5000	0.4	0.1	0.477489
0.15	500	0.4	0.1	0.453075
0.15	1000	0.4	0.1	0.468077
0.15	2000	0.4	0.1	0.478303
0.15	5000	0.4	0.1	0.479401
0.2	500	0.4	0.1	0.455272
0.2	1000	0.4	0.1	0.470778
0.2	2000	0.4	0.1	0.482087
0.2	5000	0.4	0.1	0.481697
0.25	500	0.4	0.1	0.457655
0.25	1000	0.4	0.1	0.472219
0.25	2000	0.4	0.1	0.483978
0.25	5000	0.4	0.1	0.484784
0.3	500	0.4	0.1	0.460243
0.3	1000	0.4	0.1	0.474423
0.3	2000	0.4	0.1	0.487798
0.3	5000	0.4	0.1	0.490636
0.35	500	0.4	0.1	0.46288
0.35	1000	0.4	0.1	0.477751
0.35	2000	0.4	0.1	0.489557
0.35	5000	0.4	0.1	0.493493
0.4	500	0.4	0.1	0.46495
0.4	1000	0.4	0.1	0.485493
0.4	2000	0.4	0.1	0.491481
0.4	5000	0.4	0.1	0.495385
0.1	500	0.4	0.2	0.457309
0.1	1000	0.4	0.2	0.474655
0.1	2000	0.4	0.2	0.484877
0.1	5000	0.4	0.2	0.485156
0.15	500	0.4	0.2	0.464805
0.15	1000	0.4	0.2	0.47925
0.15	2000	0.4	0.2	0.49165
0.15	5000	0.4	0.2	0.493252
0.2	500	0.4	0.2	0.46859
0.2	1000	0.4	0.2	0.491223
0.2	2000	0.4	0.2	0.49749
0.2	5000	0.4	0.2	0.50011
0.25	500	0.4	0.2	0.477249
0.25	1000	0.4	0.2	0.499072
0.25	2000	0.4	0.2	0.505371
0.25	5000	0.4	0.2	0.504197
0.3	500	0.4	0.2	0.483667
0.3	1000	0.4	0.2	0.503672
0.3	2000	0.4	0.2	0.509838
0.3	5000	0.4	0.2	0.508554
0.35	500	0.4	0.2	0.493185
0.35	1000	0.4	0.2	0.511726
0.35	2000	0.4	0.2	0.516334
0.35	5000	0.4	0.2	0.51543
0.4	500	0.4	0.2	0.498532
0.4	1000	0.4	0.2	0.516966
0.4	2000	0.4	0.2	0.522998
0.4	5000	0.4	0.2	0.518765
0.1	500	0.4	0.3	0.467123
0.1	1000	0.4	0.3	0.480725
0.1	2000	0.4	0.3	0.492537
0.1	5000	0.4	0.3	0.495134
0.15	500	0.4	0.3	0.478699
0.15	1000	0.4	0.3	0.500064
0.15	2000	0.4	0.3	0.506016
0.15	5000	0.4	0.3	0.506421
0.2	500	0.4	0.3	0.488589
0.2	1000	0.4	0.3	0.509309
0.2	2000	0.4	0.3	0.516873
0.2	5000	0.4	0.3	0.516539
0.25	500	0.4	0.3	0.501589
0.25	1000	0.4	0.3	0.520614
0.25	2000	0.4	0.3	0.528186
0.25	5000	0.4	0.3	0.520591
0.3	500	0.4	0.3	0.512411
0.3	1000	0.4	0.3	0.530669
0.3	2000	0.4	0.3	0.536078
0.3	5000	0.4	0.3	0.525997
0.35	500	0.4	0.3	0.519605
0.35	1000	0.4	0.3	0.538814
0.35	2000	0.4	0.3	0.541273
0.35	5000	0.4	0.3	0.528841
0.4	500	0.4	0.3	0.527851
0.4	1000	0.4	0.3	0.547012
0.4	2000	0.4	0.3	0.558934
0.4	5000	0.4	0.3	0.535228
0.1	500	0.4	0.4	0.476461
0.1	1000	0.4	0.4	0.498788
0.1	2000	0.4	0.4	0.504778
0.1	5000	0.4	0.4	0.505757
0.15	500	0.4	0.4	0.491088
0.15	1000	0.4	0.4	0.513068
0.15	2000	0.4	0.4	0.51902
0.15	5000	0.4	0.4	0.517711
0.2	500	0.4	0.4	0.508989
0.2	1000	0.4	0.4	0.527409
0.2	2000	0.4	0.4	0.532575
0.2	5000	0.4	0.4	0.523378
0.25	500	0.4	0.4	0.520713
0.25	1000	0.4	0.4	0.538402
0.25	2000	0.4	0.4	0.541634
0.25	5000	0.4	0.4	0.528209
0.3	500	0.4	0.4	0.530865
0.3	1000	0.4	0.4	0.549026
0.3	2000	0.4	0.4	0.560417
0.3	5000	0.4	0.4	0.535929
0.35	500	0.4	0.4	0.5446
0.35	1000	0.4	0.4	0.562939
0.35	2000	0.4	0.4	0.569865
0.35	5000	0.4	0.4	0.541893
0.4	500	0.4	0.4	0.553599
0.4	1000	0.4	0.4	0.570894
0.4	2000	0.4	0.4	0.579637
0.4	5000	0.4	0.4	0.546849
0.1	500	0.4	0.5	0.485398
0.1	1000	0.4	0.5	0.508576
0.1	2000	0.4	0.5	0.514388
0.1	5000	0.4	0.5	0.51107
0.15	500	0.4	0.5	0.506734
0.15	1000	0.4	0.5	0.524851
0.15	2000	0.4	0.5	0.529127
0.15	5000	0.4	0.5	0.521933
0.2	500	0.4	0.5	0.522469
0.2	1000	0.4	0.5	0.540627
0.2	2000	0.4	0.5	0.54205
0.2	5000	0.4	0.5	0.528584
0.25	500	0.4	0.5	0.537715
0.25	1000	0.4	0.5	0.555142
0.25	2000	0.4	0.5	0.56336
0.25	5000	0.4	0.5	0.536816
0.3	500	0.4	0.5	0.551319
0.3	1000	0.4	0.5	0.569859
0.3	2000	0.4	0.5	0.576939
0.3	5000	0.4	0.5	0.546017
0.35	500	0.4	0.5	0.565773
0.35	1000	0.4	0.5	0.579519
0.35	2000	0.4	0.5	0.584191
0.35	5000	0.4	0.5	0.550607
0.4	500	0.4	0.5	0.575205
0.4	1000	0.4	0.5	0.589352
0.4	2000	0.4	0.5	0.590961
0.4	5000	0.4	0.5	0.554934
0.1	500	0.4	0.6	0.49292
0.1	1000	0.4	0.6	0.514886
0.1	2000	0.4	0.6	0.520618
0.1	5000	0.4	0.6	0.517963
0.15	500	0.4	0.6	0.518353
0.15	1000	0.4	0.6	0.535209
0.15	2000	0.4	0.6	0.539583
0.15	5000	0.4	0.6	0.526233
0.2	500	0.4	0.6	0.536333
0.2	1000	0.4	0.6	0.554392
0.2	2000	0.4	0.6	0.561774
0.2	5000	0.4	0.6	0.535865
0.25	500	0.4	0.6	0.553561
0.25	1000	0.4	0.6	0.570422
0.25	2000	0.4	0.6	0.577278
0.25	5000	0.4	0.6	0.546437
0.3	500	0.4	0.6	0.568791
0.3	1000	0.4	0.6	0.581276
0.3	2000	0.4	0.6	0.586687
0.3	5000	0.4	0.6	0.553551
0.35	500	0.4	0.6	0.581654
0.35	1000	0.4	0.6	0.595557
0.35	2000	0.4	0.6	0.596283
0.35	5000	0.4	0.6	0.553385
0.4	500	0.4	0.6	0.594177
0.4	1000	0.4	0.6	0.60486
0.4	2000	0.4	0.6	0.605414
0.4	5000	0.4	0.6	0.558373
0.1	500	0.4	0.7	0.504104
0.1	1000	0.4	0.7	0.521547
0.1	2000	0.4	0.7	0.527035
0.1	5000	0.4	0.7	0.520401
0.15	500	0.4	0.7	0.528784
0.15	1000	0.4	0.7	0.544795
0.15	2000	0.4	0.7	0.545042
0.15	5000	0.4	0.7	0.532808
0.2	500	0.4	0.7	0.550373
0.2	1000	0.4	0.7	0.566402
0.2	2000	0.4	0.7	0.574142
0.2	5000	0.4	0.7	0.544725
0.25	500	0.4	0.7	0.56832
0.25	1000	0.4	0.7	0.580578
0.25	2000	0.4	0.7	0.586241
0.25	5000	0.4	0.7	0.55272
0.3	500	0.4	0.7	0.58295
0.3	1000	0.4	0.7	0.595001
0.3	2000	0.4	0.7	0.597725
0.3	5000	0.4	0.7	0.554835
0.35	500	0.4	0.7	0.599368
0.35	1000	0.4	0.7	0.60949
0.35	2000	0.4	0.7	0.606786
0.35	5000	0.4	0.7	0.55989
0.4	500	0.4	0.7	0.61207
0.4	1000	0.4	0.7	0.623982
0.4	2000	0.4	0.7	0.606773
0.4	5000	0.4	0.7	0.555479
0.1	500	0.4	0.8	0.513884
0.1	1000	0.4	0.8	0.531612
0.1	2000	0.4	0.8	0.53426
0.1	5000	0.4	0.8	0.524149
0.15	500	0.4	0.8	0.539467
0.15	1000	0.4	0.8	0.556369
0.15	2000	0.4	0.8	0.56534
0.15	5000	0.4	0.8	0.53934
0.2	500	0.4	0.8	0.560555
0.2	1000	0.4	0.8	0.576308
0.2	2000	0.4	0.8	0.58117
0.2	5000	0.4	0.8	0.548895
0.25	500	0.4	0.8	0.579086
0.25	1000	0.4	0.8	0.592691
0.25	2000	0.4	0.8	0.5935
0.25	5000	0.4	0.8	0.554968
0.3	500	0.4	0.8	0.598602
0.3	1000	0.4	0.8	0.609069
0.3	2000	0.4	0.8	0.606907
0.3	5000	0.4	0.8	0.559246
0.35	500	0.4	0.8	0.612605
0.35	1000	0.4	0.8	0.624478
0.35	2000	0.4	0.8	0.606687
0.35	5000	0.4	0.8	0.554879
0.4	500	0.4	0.8	0.624346
0.4	1000	0.4	0.8	0.628815
0.4	2000	0.4	0.8	0.609245
0.4	5000	0.4	0.8	0.555055
0.1	500	0.4	0.9	0.520115
0.1	1000	0.4	0.9	0.53733
0.1	2000	0.4	0.9	0.540196
0.1	5000	0.4	0.9	0.526672
0.15	500	0.4	0.9	0.548749
0.15	1000	0.4	0.9	0.564746
0.15	2000	0.4	0.9	0.572548
0.15	5000	0.4	0.9	0.544317
0.2	500	0.4	0.9	0.572053
0.2	1000	0.4	0.9	0.585594
0.2	2000	0.4	0.9	0.587261
0.2	5000	0.4	0.9	0.552334
0.25	500	0.4	0.9	0.590561
0.25	1000	0.4	0.9	0.605132
0.25	2000	0.4	0.9	0.604176
0.25	5000	0.4	0.9	0.556958
0.3	500	0.4	0.9	0.611514
0.3	1000	0.4	0.9	0.620995
0.3	2000	0.4	0.9	0.603805
0.3	5000	0.4	0.9	0.55463
0.35	500	0.4	0.9	0.623748
0.35	1000	0.4	0.9	0.628193
0.35	2000	0.4	0.9	0.609791
0.35	5000	0.4	0.9	0.553404
0.4	500	0.4	0.9	0.637372
0.4	1000	0.4	0.9	0.631954
0.4	2000	0.4	0.9	0.60011
0.4	5000	0.4	0.9	0.558623
0.1	500	0.5	0.1	0.465843
0.1	1000	0.5	0.1	0.482485
0.1	2000	0.5	0.1	0.484271
0.1	5000	0.5	0.1	0.49353
0.15	500	0.5	0.1	0.468834
0.15	1000	0.5	0.1	0.486498
0.15	2000	0.5	0.1	0.488002
0.15	5000	0.5	0.1	0.497616
0.2	500	0.5	0.1	0.470306
0.2	1000	0.5	0.1	0.489947
0.2	2000	0.5	0.1	0.493086
0.2	5000	0.5	0.1	0.500683
0.25	500	0.5	0.1	0.472392
0.25	1000	0.5	0.1	0.492652
0.25	2000	0.5	0.1	0.496306
0.25	5000	0.5	0.1	0.504885
0.3	500	0.5	0.1	0.474916
0.3	1000	0.5	0.1	0.495041
0.3	2000	0.5	0.1	0.499566
0.3	5000	0.5	0.1	0.509787
0.35	500	0.5	0.1	0.478537
0.35	1000	0.5	0.1	0.497773
0.35	2000	0.5	0.1	0.502675
0.35	5000	0.5	0.1	0.512626
0.4	500	0.5	0.1	0.480502
0.4	1000	0.5	0.1	0.500942
0.4	2000	0.5	0.1	0.505175
0.4	5000	0.5	0.1	0.515129
0.1	500	0.5	0.2	0.473622
0.1	1000	0.5	0.2	0.493918
0.1	2000	0.5	0.2	0.497481
0.1	5000	0.5	0.2	0.503577
0.15	500	0.5	0.2	0.481369
0.15	1000	0.5	0.2	0.50098
0.15	2000	0.5	0.2	0.503956
0.15	5000	0.5	0.2	0.514287
0.2	500	0.5	0.2	0.492184
0.2	1000	0.5	0.2	0.507018
0.2	2000	0.5	0.2	0.509651
0.2	5000	0.5	0.2	0.521652
0.25	500	0.5	0.2	0.499142
0.25	1000	0.5	0.2	0.515945
0.25	2000	0.5	0.2	0.518119
0.25	5000	0.5	0.2	0.528344
0.3	500	0.5	0.2	0.504262
0.3	1000	0.5	0.2	0.523667
0.3	2000	0.5	0.2	0.530891
0.3	5000	0.5	0.2	0.532394
0.35	500	0.5	0.2	0.509044
0.35	1000	0.5	0.2	0.529062
0.35	2000	0.5	0.2	0.537617
0.35	5000	0.5	0.2	0.538444
0.4	500	0.5	0.2	0.515196
0.4	1000	0.5	0.2	0.53377
0.4	2000	0.5	0.2	0.542693
0.4	5000	0.5	0.2	0.540594
0.1	500	0.5	0.3	0.482546
0.1	1000	0.5	0.3	0.503683
0.1	2000	0.5	0.3	0.507583
0.1	5000	0.5	0.3	0.517433
0.15	500	0.5	0.3	0.499032
0.15	1000	0.5	0.3	0.515338
0.15	2000	0.5	0.3	0.519224
0.15	5000	0.5	0.3	0.527612
0.2	500	0.5	0.3	0.508371
0.2	1000	0.5	0.3	0.526671
0.2	2000	0.5	0.3	0.533945
0.2	5000	0.5	0.3	0.534315
0.25	500	0.5	0.3	0.518824
0.25	1000	0.5	0.3	0.536072
0.25	2000	0.5	0.3	0.54399
0.25	5000	0.5	0.3	0.54121
0.3	500	0.5	0.3	0.5233
0.3	1000	0.5	0.3	0.544249
0.3	2000	0.5	0.3	0.555776
0.3	5000	0.5	0.3	0.547564
0.35	500	0.5	0.3	0.532152
0.35	1000	0.5	0.3	0.550109
0.35	2000	0.5	0.3	0.562197
0.35	5000	0.5	0.3	0.553146
0.4	500	0.5	0.3	0.539571
0.4	1000	0.5	0.3	0.558216
0.4	2000	0.5	0.3	0.569504
0.4	5000	0.5	0.3	0.558062
0.1	500	0.5	0.4	0.496314
0.1	1000	0.5	0.4	0.513044
0.1	2000	0.5	0.4	0.516077
0.1	5000	0.5	0.4	0.526414
0.15	500	0.5	0.4	0.509336
0.15	1000	0.5	0.4	0.528731
0.15	2000	0.5	0.4	0.535356
0.15	5000	0.5	0.4	0.534874
0.2	500	0.5	0.4	0.520689
0.2	1000	0.5	0.4	0.540658
0.2	2000	0.5	0.4	0.553025
0.2	5000	0.5	0.4	0.543775
0.25	500	0.5	0.4	0.532679
0.25	1000	0.5	0.4	0.550329
0.25	2000	0.5	0.4	0.561032
0.25	5000	0.5	0.4	0.553034
0.3	500	0.5	0.4	0.542998
0.3	1000	0.5	0.4	0.561157
0.3	2000	0.5	0.4	0.571724
0.3	5000	0.5	0.4	0.558291
0.35	500	0.5	0.4	0.554544
0.35	1000	0.5	0.4	0.570601
0.35	2000	0.5	0.4	0.579923
0.35	5000	0.5	0.4	0.56091
0.4	500	0.5	0.4	0.564382
0.4	1000	0.5	0.4	0.576807
0.4	2000	0.5	0.4	0.586742
0.4	5000	0.5	0.4	0.564254
0.1	500	0.5	0.5	0.504689
0.1	1000	0.5	0.5	0.522221
0.1	2000	0.5	0.5	0.525447
0.1	5000	0.5	0.5	0.531582
0.15	500	0.5	0.5	0.52075
0.15	1000	0.5	0.5	0.538814
0.15	2000	0.5	0.5	0.545822
0.15	5000	0.5	0.5	0.542548
0.2	500	0.5	0.5	0.533848
0.2	1000	0.5	0.5	0.552074
0.2	2000	0.5	0.5	0.562841
0.2	5000	0.5	0.5	0.553234
0.25	500	0.5	0.5	0.547239
0.25	1000	0.5	0.5	0.564638
0.25	2000	0.5	0.5	0.573856
0.25	5000	0.5	0.5	0.559127
0.3	500	0.5	0.5	0.562008
0.3	1000	0.5	0.5	0.577796
0.3	2000	0.5	0.5	0.586347
0.3	5000	0.5	0.5	0.565119
0.35	500	0.5	0.5	0.577243
0.35	1000	0.5	0.5	0.589115
0.35	2000	0.5	0.5	0.596259
0.35	5000	0.5	0.5	0.57558
0.4	500	0.5	0.5	0.589718
0.4	1000	0.5	0.5	0.598413
0.4	2000	0.5	0.5	0.604723
0.4	5000	0.5	0.5	0.576238
0.1	500	0.5	0.6	0.511511
0.1	1000	0.5	0.6	0.530527
0.1	2000	0.5	0.6	0.536602
0.1	5000	0.5	0.6	0.535866
0.15	500	0.5	0.6	0.528028
0.15	1000	0.5	0.6	0.546863
0.15	2000	0.5	0.6	0.557895
0.15	5000	0.5	0.6	0.5495
0.2	500	0.5	0.6	0.545291
0.2	1000	0.5	0.6	0.563037
0.2	2000	0.5	0.6	0.572397
0.2	5000	0.5	0.6	0.558734
0.25	500	0.5	0.6	0.564163
0.25	1000	0.5	0.6	0.580261
0.25	2000	0.5	0.6	0.588322
0.25	5000	0.5	0.6	0.567995
0.3	500	0.5	0.6	0.581315
0.3	1000	0.5	0.6	0.590654
0.3	2000	0.5	0.6	0.597427
0.3	5000	0.5	0.6	0.575022
0.35	500	0.5	0.6	0.597785
0.35	1000	0.5	0.6	0.609065
0.35	2000	0.5	0.6	0.61085
0.35	5000	0.5	0.6	0.578764
0.4	500	0.5	0.6	0.605201
0.4	1000	0.5	0.6	0.618421
0.4	2000	0.5	0.6	0.611353
0.4	5000	0.5	0.6	0.57719
0.1	500	0.5	0.7	0.519271
0.1	1000	0.5	0.7	0.536667
0.1	2000	0.5	0.7	0.544375
0.1	5000	0.5	0.7	0.540838
0.15	500	0.5	0.7	0.537636
0.15	1000	0.5	0.7	0.555159
0.15	2000	0.5	0.7	0.566133
0.15	5000	0.5	0.7	0.555298
0.2	500	0.5	0.7	0.560582
0.2	1000	0.5	0.7	0.576637
0.2	2000	0.5	0.7	0.584703
0.2	5000	0.5	0.7	0.565883
0.25	500	0.5	0.7	0.580787
0.25	1000	0.5	0.7	0.5902
0.25	2000	0.5	0.7	0.595593
0.25	5000	0.5	0.7	0.573272
0.3	500	0.5	0.7	0.598846
0.3	1000	0.5	0.7	0.612036
0.3	2000	0.5	0.7	0.611069
0.3	5000	0.5	0.7	0.578956
0.35	500	0.5	0.7	0.608781
0.35	1000	0.5	0.7	0.620071
0.35	2000	0.5	0.7	0.616687
0.35	5000	0.5	0.7	0.579217
0.4	500	0.5	0.7	0.61939
0.4	1000	0.5	0.7	0.63026
0.4	2000	0.5	0.7	0.613935
0.4	5000	0.5	0.7	0.580846
0.1	500	0.5	0.8	0.522673
0.1	1000	0.5	0.8	0.543509
0.1	2000	0.5	0.8	0.55519
0.1	5000	0.5	0.8	0.546362
0.15	500	0.5	0.8	0.549119
0.15	1000	0.5	0.8	0.563525
0.15	2000	0.5	0.8	0.573309
0.15	5000	0.5	0.8	0.558055
0.2	500	0.5	0.8	0.57317
0.2	1000	0.5	0.8	0.586501
0.2	2000	0.5	0.8	0.590901
0.2	5000	0.5	0.8	0.573345
0.25	500	0.5	0.8	0.594695
0.25	1000	0.5	0.8	0.608955
0.25	2000	0.5	0.8	0.608505
0.25	5000	0.5	0.8	0.576036
0.3	500	0.5	0.8	0.609044
0.3	1000	0.5	0.8	0.619257
0.3	2000	0.5	0.8	0.616483
0.3	5000	0.5	0.8	0.579394
0.35	500	0.5	0.8	0.619895
0.35	1000	0.5	0.8	0.62971
0.35	2000	0.5	0.8	0.612777
0.35	5000	0.5	0.8	0.579826
0.4	500	0.5	0.8	0.633881
0.4	1000	0.5	0.8	0.632763
0.4	2000	0.5	0.8	0.612334
0.4	5000	0.5	0.8	0.584099
0.1	500	0.5	0.9	0.529597
0.1	1000	0.5	0.9	0.549065
0.1	2000	0.5	0.9	0.558984
0.1	5000	0.5	0.9	0.55086
0.15	500	0.5	0.9	0.559108
0.15	1000	0.5	0.9	0.575109
0.15	2000	0.5	0.9	0.582626
0.15	5000	0.5	0.9	0.564519
0.2	500	0.5	0.9	0.58375
0.2	1000	0.5	0.9	0.593
0.2	2000	0.5	0.9	0.601929
0.2	5000	0.5	0.9	0.574737
0.25	500	0.5	0.9	0.607202
0.25	1000	0.5	0.9	0.616193
0.25	2000	0.5	0.9	0.61382
0.25	5000	0.5	0.9	0.57985
0.3	500	0.5	0.9	0.618282
0.3	1000	0.5	0.9	0.626633
0.3	2000	0.5	0.9	0.613064
0.3	5000	0.5	0.9	0.580825
0.35	500	0.5	0.9	0.632276
0.35	1000	0.5	0.9	0.632015
0.35	2000	0.5	0.9	0.611216
0.35	5000	0.5	0.9	0.583339
0.4	500	0.5	0.9	0.640952
0.4	1000	0.5	0.9	0.630112
0.4	2000	0.5	0.9	0.612892
0.4	5000	0.5	0.9	0.581418
0.1	500	0.6	0.1	0.483334
0.1	1000	0.6	0.1	0.494707
0.1	2000	0.6	0.1	0.504378
0.1	5000	0.6	0.1	0.508296
0.15	500	0.6	0.1	0.485754
0.15	1000	0.6	0.1	0.500774
0.15	2000	0.6	0.1	0.508195
0.15	5000	0.6	0.1	0.512134
0.2	500	0.6	0.1	0.490398
0.2	1000	0.6	0.1	0.504997
0.2	2000	0.6	0.1	0.513085
0.2	5000	0.6	0.1	0.516725
0.25	500	0.6	0.1	0.492348
0.25	1000	0.6	0.1	0.507794
0.25	2000	0.6	0.1	0.516322
0.25	5000	0.6	0.1	0.522492
0.3	500	0.6	0.1	0.495352
0.3	1000	0.6	0.1	0.510593
0.3	2000	0.6	0.1	0.519864
0.3	5000	0.6	0.1	0.525044
0.35	500	0.6	0.1	0.499233
0.35	1000	0.6	0.1	0.5128
0.35	2000	0.6	0.1	0.522596
0.35	5000	0.6	0.1	0.527461
0.4	500	0.6	0.1	0.503907
0.4	1000	0.6	0.1	0.515871
0.4	2000	0.6	0.1	0.526203
0.4	5000	0.6	0.1	0.530623
0.1	500	0.6	0.2	0.491517
0.1	1000	0.6	0.2	0.50694
0.1	2000	0.6	0.2	0.515938
0.1	5000	0.6	0.2	0.519915
0.15	500	0.6	0.2	0.499084
0.15	1000	0.6	0.2	0.513416
0.15	2000	0.6	0.2	0.522246
0.15	5000	0.6	0.2	0.529069
0.2	500	0.6	0.2	0.507376
0.2	1000	0.6	0.2	0.520179
0.2	2000	0.6	0.2	0.529533
0.2	5000	0.6	0.2	0.535327
0.25	500	0.6	0.2	0.514137
0.25	1000	0.6	0.2	0.528054
0.25	2000	0.6	0.2	0.540511
0.25	5000	0.6	0.2	0.540785
0.3	500	0.6	0.2	0.521264
0.3	1000	0.6	0.2	0.533437
0.3	2000	0.6	0.2	0.546651
0.3	5000	0.6	0.2	0.54657
0.35	500	0.6	0.2	0.529973
0.35	1000	0.6	0.2	0.539856
0.35	2000	0.6	0.2	0.552061
0.35	5000	0.6	0.2	0.549968
0.4	500	0.6	0.2	0.533841
0.4	1000	0.6	0.2	0.544556
0.4	2000	0.6	0.2	0.556766
0.4	5000	0.6	0.2	0.556434
0.1	500	0.6	0.3	0.50132
0.1	1000	0.6	0.3	0.514866
0.1	2000	0.6	0.3	0.523653
0.1	5000	0.6	0.3	0.529711
0.15	500	0.6	0.3	0.513513
0.15	1000	0.6	0.3	0.525694
0.15	2000	0.6	0.3	0.538499
0.15	5000	0.6	0.3	0.539981
0.2	500	0.6	0.3	0.52545
0.2	1000	0.6	0.3	0.535603
0.2	2000	0.6	0.3	0.550323
0.2	5000	0.6	0.3	0.547767
0.25	500	0.6	0.3	0.534516
0.25	1000	0.6	0.3	0.544872
0.25	2000	0.6	0.3	0.556852
0.25	5000	0.6	0.3	0.556317
0.3	500	0.6	0.3	0.541126
0.3	1000	0.6	0.3	0.552022
0.3	2000	0.6	0.3	0.564252
0.3	5000	0.6	0.3	0.560265
0.35	500	0.6	0.3	0.548476
0.35	1000	0.6	0.3	0.561332
0.35	2000	0.6	0.3	0.573466
0.35	5000	0.6	0.3	0.566679
0.4	500	0.6	0.3	0.554965
0.4	1000	0.6	0.3	0.569
0.4	2000	0.6	0.3	0.58258
0.4	5000	0.6	0.3	0.56931
0.1	500	0.6	0.4	0.510742
0.1	1000	0.6	0.4	0.523569
0.1	2000	0.6	0.4	0.531935
0.1	5000	0.6	0.4	0.53772
0.15	500	0.6	0.4	0.526382
0.15	1000	0.6	0.4	0.536599
0.15	2000	0.6	0.4	0.552137
0.15	5000	0.6	0.4	0.548275
0.2	500	0.6	0.4	0.538322
0.2	1000	0.6	0.4	0.548141
0.2	2000	0.6	0.4	0.559459
0.2	5000	0.6	0.4	0.558443
0.25	500	0.6	0.4	0.547902
0.25	1000	0.6	0.4	0.56061
0.25	2000	0.6	0.4	0.571675
0.25	5000	0.6	0.4	0.566253
0.3	500	0.6	0.4	0.557399
0.3	1000	0.6	0.4	0.571145
0.3	2000	0.6	0.4	0.584706
0.3	5000	0.6	0.4	0.570004
0.35	500	0.6	0.4	0.56846
0.35	1000	0.6	0.4	0.583022
0.35	2000	0.6	0.4	0.589749
0.35	5000	0.6	0.4	0.575814
0.4	500	0.6	0.4	0.58049
0.4	1000	0.6	0.4	0.593005
0.4	2000	0.6	0.4	0.597035
0.4	5000	0.6	0.4	0.591529
0.1	500	0.6	0.5	0.518367
0.1	1000	0.6	0.5	0.531832
0.1	2000	0.6	0.5	0.54317
0.1	5000	0.6	0.5	0.542401
0.15	500	0.6	0.5	0.536883
0.15	1000	0.6	0.5	0.546869
0.15	2000	0.6	0.5	0.55725
0.15	5000	0.6	0.5	0.556096
0.2	500	0.6	0.5	0.549338
0.2	1000	0.6	0.5	0.56231
0.2	2000	0.6	0.5	0.573426
0.2	5000	0.6	0.5	0.566633
0.25	500	0.6	0.5	0.562789
0.25	1000	0.6	0.5	0.574377
0.25	2000	0.6	0.5	0.586342
0.25	5000	0.6	0.5	0.572774
0.3	500	0.6	0.5	0.573444
0.3	1000	0.6	0.5	0.591981
0.3	2000	0.6	0.5	0.594095
0.3	5000	0.6	0.5	0.586075
0.35	500	0.6	0.5	0.592228
0.35	1000	0.6	0.5	0.602382
0.35	2000	0.6	0.5	0.605347
0.35	5000	0.6	0.5	0.599241
0.4	500	0.6	0.5	0.598959
0.4	1000	0.6	0.5	0.611474
0.4	2000	0.6	0.5	0.612642
0.4	5000	0.6	0.5	0.598456
0.1	500	0.6	0.6	0.527738
0.1	1000	0.6	0.6	0.537743
0.1	2000	0.6	0.6	0.552692
0.1	5000	0.6	0.6	0.548648
0.15	500	0.6	0.6	0.54401
0.15	1000	0.6	0.6	0.556611
0.15	2000	0.6	0.6	0.568463
0.15	5000	0.6	0.6	0.56178
0.2	500	0.6	0.6	0.561576
0.2	1000	0.6	0.6	0.573294
